n min_edge time
2 1 3.1948089599609375e-05
3 2 2.4318695068359375e-05
4 2 2.4080276489257812e-05
5 3 8.082389831542969e-05
6 3 9.417533874511719e-05
7 4 0.0009446144104003906
8 4 0.00047469139099121094
9 5 0.08917570114135742
10 5 0.08060145378112793
11 None 0.005361795425415039
12 6 14.960983753204346
13 7 305.68096828460693
